time,mass,thrust,throttle,gimbal_x,gimbal_y,gimbal_z,rw_x,rw_y,rw_z,accel_x,accel_y,accel_z,force_grav_x,force_grav_y,force_grav_z,force_thrust_x,force_thrust_y,force_thrust_z,force_drag_x,force_drag_y,force_drag_z,target_att_x,target_att_y,target_att_z
2.75,541305.1202084506,7600000.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,4.215985270275637,0.0,0.0,-5316866.568521031,-0.0,-0.0,7600000.0,0.0,0.0,-419.70545789859926,-0.0,-0.0,1.0,0.0,0.0
2.8,541167.7116407444,7600000.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,4.2195209092606385,0.0,0.0,-5315516.279186926,-0.0,-0.0,7600000.0,0.0,0.0,-435.4478036734475,-0.0,-0.0,1.0,0.0,0.0
2.85,541030.3030730381,7600000.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,4.223057817738984,0.0,0.0,-5314165.972743907,-0.0,-0.0,7600000.0,0.0,0.0,-451.49190373149554,-0.0,-0.0,1.0,0.0,0.0
2.9,540892.8945053319,7600000.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,4.22659599554514,0.0,0.0,-5312815.649190646,-0.0,-0.0,7600000.0,0.0,0.0,-467.8383722781735,-0.0,-0.0,1.0,0.0,0.0
2.95,540755.4859376256,7600000.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,4.23013544251626,0.0,0.0,-5311465.308525824,-0.0,-0.0,7600000.0,0.0,0.0,-484.4878219631518,-0.0,-0.0,1.0,0.0,0.0
3.0,540618.0773699194,7600000.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,4.23367615849221,0.0,0.0,-5310114.950748135,-0.0,-0.0,7600000.0,0.0,0.0,-501.4408638697536,-0.0,-0.0,1.0,0.0,0.0
3.05,540480.6688022132,7600000.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,4.2372181433155935,0.0,0.0,-5308764.5758562805,-0.0,-0.0,7600000.0,0.0,0.0,-518.69810750395,-0.0,-0.0,1.0,0.0,0.0
3.1,540343.2602345069,7600000.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,4.240761396831774,0.0,0.0,-5307414.1838489715,-0.0,-0.0,7600000.0,0.0,0.0,-536.2601607836574,-0.0,-0.0,1.0,0.0,0.0
3.15,540205.8516668007,7600000.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,4.244305918888899,0.0,0.0,-5306063.77472493,-0.0,-0.0,7600000.0,0.0,0.0,-554.1276300279287,-0.0,-0.0,1.0,0.0,0.0
3.2,540068.4430990944,7600000.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,4.247851709337918,0.0,0.0,-5304713.348482889,-0.0,-0.0,7600000.0,0.0,0.0,-572.3011199460781,-0.0,-0.0,1.0,0.0,0.0
3.25,539931.0345313882,7600000.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,4.251398768032616,0.0,0.0,-5303362.90512159,-0.0,-0.0,7600000.0,0.0,0.0,-590.7812336269153,-0.0,-0.0,1.0,0.0,0.0
3.3,539793.625963682,7600000.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,4.254947094829635,0.0,0.0,-5302012.444639782,-0.0,-0.0,7600000.0,0.0,0.0,-609.5685725278537,-0.0,-0.0,1.0,0.0,0.0
3.35,539656.2173959757,7600000.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,4.25849668958848,0.0,0.0,-5300661.967036234,-0.0,-0.0,7600000.0,0.0,0.0,-628.663736464207,-0.0,-0.0,1.0,0.0,0.0
3.4,539518.8088282695,7600000.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,4.262047552171577,0.0,0.0,-5299311.472309711,-0.0,-0.0,7600000.0,0.0,0.0,-648.067323598151,-0.0,-0.0,1.0,0.0,0.0
3.45,539381.4002605632,7600000.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,4.265599682444263,0.0,0.0,-5297960.960458999,-0.0,-0.0,7600000.0,0.0,0.0,-667.7799304280078,-0.0,-0.0,1.0,0.0,0.0
3.5,539243.991692857,7600000.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,4.269153080274832,0.0,0.0,-5296610.431482887,-0.0,-0.0,7600000.0,0.0,0.0,-687.8021517773988,-0.0,-0.0,1.0,0.0,0.0
3.55,539106.5831251508,7600000.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,4.272707745534545,0.0,0.0,-5295259.88538018,-0.0,-0.0,7600000.0,0.0,0.0,-708.1345807843162,-0.0,-0.0,1.0,0.0,0.0
3.6,538969.1745574445,7600000.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,4.276263678097666,0.0,0.0,-5293909.322149687,-0.0,-0.0,7600000.0,0.0,0.0,-728.7778088904175,-0.0,-0.0,1.0,0.0,0.0
3.65,538831.7659897383,7600000.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,4.279820877841472,0.0,0.0,-5292558.741790234,-0.0,-0.0,7600000.0,0.0,0.0,-749.732425829928,-0.0,-0.0,1.0,0.0,0.0
3.7,538694.357422032,7600000.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,4.283379344646294,0.0,0.0,-5291208.144300651,-0.0,-0.0,7600000.0,0.0,0.0,-770.9990196189249,-0.0,-0.0,1.0,0.0,0.0
3.75,538556.9488543258,7600000.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,4.286939078395523,0.0,0.0,-5289857.529679781,-0.0,-0.0,7600000.0,0.0,0.0,-792.5781765445536,-0.0,-0.0,1.0,0.0,0.0
3.8,538419.5402866196,7600000.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,4.2905000789756516,0.0,0.0,-5288506.897926475,-0.0,-0.0,7600000.0,0.0,0.0,-814.4704811538112,-0.0,-0.0,1.0,0.0,0.0
3.85,538282.1317189133,7600000.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,4.294062346276283,0.0,0.0,-5287156.249039598,-0.0,-0.0,7600000.0,0.0,0.0,-836.6765162430924,-0.0,-0.0,1.0,0.0,0.0
